year_of_manufacture,manufacturer,model,mileage,body_type,transmission,drivetrain,exterior_colour,interior_colour,passengers,doors,fuel_type,price,city_consumption,highway_consumption,engine_displacement_L,engine_cylinders,engine_type,car_state
2018,Subaru,Legacy,223250.0,Sedan,Automatic,4X4,gray,black,5,4,gasoline,500.0,10.8,8.7,2.5,4.0,Other,4
2023,Jeep,Wrangler,13.0,SUV,Automatic,4X4,black,black,5,4,gasoline,74278.0,13.8,10.1,3.6,6.0,V-Engine,1
2019,Ford,Explorer,79799.0,SUV,Automatic,4X4,metallic,black,7,4,gasoline,31727.55,14.5,10.6,2.4,6.0,V-Engine,3
2021,Ford,Escape,38000.0,SUV,Automatic,4X4,black,black,5,4,gasoline,33995.0,9.0,7.6,2.4,3.0,Inline,1
2010,Dodge,Journey,207794.0,SUV,Automatic,FWD,red,black,5,4,gasoline,500.0,11.0,7.9,2.4,4.0,Inline,2
2023,Chevrolet,Silverado,10.0,Truck,Automatic,4X4,blue,black,5,4,gasoline,66758.0,14.8,11.8,5.3,8.0,V-Engine,1
2022,Porsche,911,11752.0,Coupe,Automatic,4X4,black,black,5,4,gasoline,174900.0,13.1,9.8,2.4,6.0,Inline,1
2015,Porsche,911,58429.0,Sedan,Automatic,4X4,black,black,5,4,gasoline,122800.0,10.8,8.7,3.8,6.0,Inline,1
2009,Dodge,Grand,221726.0,Van,Automatic,FWD,red,black,7,4,gasoline,500.0,12.6,8.4,2.4,6.0,V-Engine,3
2023,Mercedes-Benz,EQE,90.0,Sedan,Automatic,4X4,white,black,5,4,electric,129010.0,0.0,8.7,2.4,0.0,Electric,1
2017,Mitsubishi,RVR,99500.0,SUV,Automatic,4X4,white,black,5,4,gasoline,18900.0,10.8,8.7,2.4,4.0,Inline,2
2021,Volkswagen,Jetta,25200.0,Sedan,Automatic,FWD,white,black,5,4,gasoline,28220.0,7.8,5.9,1.4,4.0,Other,1
2018,Volkswagen,Tiguan,26071.0,SUV,Automatic,4X4,green,white,5,4,gasoline,26995.0,11.3,8.8,2.4,4.0,Inline,1
2013,Hyundai,Elantra,118315.0,Sedan,Automatic,FWD,gray,gray,5,4,gasoline,9990.0,7.2,5.2,1.8,4.0,Inline,2
2020,Volkswagen,E-Golf,41214.0,Hatchback,Automatic,FWD,blue,black,5,2,electric,36495.0,0.0,8.7,0.0,0.0,Electric,1
2015,Honda,CR-V,139620.0,SUV,Automatic,FWD,white,black,5,4,gasoline,16499.0,8.6,6.9,2.4,4.0,Inline,2
2017,Volvo,XC60,161503.0,SUV,Automatic,4X4,black,black,5,4,gasoline,10332.8,11.7,8.7,2.4,4.0,Inline,2
2017,Volvo,S90,81000.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,33680.0,10.8,8.7,2.4,4.0,Inline,2
2021,Jeep,Wrangler,33305.0,SUV,Automatic,4X4,green,black,5,4,gasoline,43590.0,11.5,10.0,2.0,4.0,Inline,1
2022,Jeep,Wagoneer,0.0,SUV,Automatic,4X4,blue,black,5,4,gasoline,97570.0,10.8,8.7,5.7,8.0,V-Engine,1
2018,Tesla,Model,136317.0,Sedan,Automatic,4X4,white,beige,5,4,electric,78397.0,0.0,8.7,0.0,0.0,Electric,2
2022,Mercedes-Benz,GLB,80.0,SUV,Automatic,4X4,silver,gray,5,4,gasoline,68388.0,10.9,7.9,2.4,4.0,Inline,1
2016,Tesla,Model,71400.0,SUV,Automatic,4X4,silver,beige,6,4,electric,81277.0,0.0,8.7,0.0,0.0,Electric,1
2023,Jeep,Grand,0.0,SUV,Automatic,4X4,white,black,5,4,gasoline,58730.0,12.3,9.2,3.6,6.0,V-Engine,1
2023,Cadillac,XT5,10.0,SUV,Automatic,4X4,white,black,5,4,gasoline,60640.0,12.9,9.2,2.4,6.0,V-Engine,1
2023,Nissan,GT-R,99.0,Coupe,Automatic,4X4,white,black,5,4,gasoline,292998.0,14.7,10.7,3.8,6.0,V-Engine,1
2021,Kia,Sorento,26740.0,SUV,Automatic,4X4,red,black,6,4,gasoline,40888.0,11.1,8.4,2.5,4.0,Inline,1
2022,Hyundai,Kona,8481.0,SUV,CVT,4X4,white,black,5,4,gasoline,30895.0,8.5,7.2,2.4,4.0,Inline,1
2023,Volkswagen,Atlas,536.0,SUV,Automatic,4X4,gray,black,5,4,gasoline,53605.0,13.1,10.0,2.4,6.0,V-Engine,1
2022,Jeep,Cherokee,1500.0,SUV,Automatic,4X4,black,black,5,4,gasoline,47690.0,12.9,9.7,2.4,6.0,V-Engine,1
2017,Dodge,Journey,102090.0,SUV,Automatic,FWD,white,black,5,4,gasoline,14999.0,10.8,8.7,2.4,4.0,Inline,2
2016,Ford,Escape,210855.0,SUV,Automatic,FWD,white,black,5,4,gasoline,1522.959375,10.1,7.4,2.4,4.0,Inline,3
2017,GMC,Terrain,126310.0,SUV,Automatic,4X4,black,black,5,4,gasoline,22990.0,11.5,8.3,2.4,4.0,Inline,2
2011,Hyundai,Sonata,210000.0,Sedan,Automatic,FWD,gray,black,5,4,gasoline,3450.0,10.8,8.7,2.4,4.0,Inline,2
2014,Subaru,WRX,134000.0,Hatchback,Manual,4X4,blue,black,5,4,gasoline,23999.0,10.8,8.7,2.5,4.0,Other,1
2023,GMC,Acadia,35.0,SUV,Automatic,4X4,black,black,7,4,gasoline,54943.0,10.8,8.7,2.0,4.0,Inline,1
2022,Jeep,Cherokee,16.0,SUV,Automatic,4X4,metallic,black,5,4,gasoline,47998.0,12.2,8.6,3.2,6.0,V-Engine,1
2017,Honda,Civic,62369.0,Hatchback,CVT,FWD,white,black,5,4,gasoline,22388.0,7.7,6.0,2.4,4.0,Inline,1
2022,Jeep,Grand,7785.0,SUV,Automatic,4X4,black,black,5,2,gasoline,99888.0,18.6,12.8,6.4,8.0,Inline,1
2018,Ford,F-150,129330.0,Truck,Automatic,4X4,black,black,5,4,gasoline,38099.1,10.8,8.7,2.4,8.0,Inline,1
2021,Hyundai,Tucson,51879.0,SUV,Automatic,4X4,white,black,5,4,gasoline,32195.0,10.8,9.2,2.4,4.0,Inline,1
2020,BMW,3,101600.0,Sedan,Automatic,4X4,blue,black,5,4,gasoline,47995.0,11.4,8.3,2.4,6.0,Inline,1
2017,Honda,Civic,125000.0,Sedan,CVT,FWD,black,black,5,2,gasoline,16949.1,7.8,6.0,2.0,4.0,Inline,2
2019,Mazda,CX-5,31067.0,SUV,Automatic,FWD,black,black,5,4,gasoline,28995.0,9.3,7.6,2.4,4.0,Inline,2
2019,Buick,Regal,60162.0,Hatchback,Automatic,FWD,silver,black,5,4,gasoline,22300.0,10.6,7.4,2.0,4.0,Inline,2
2023,Ford,Mustang,250.0,Coupe,Automatic,RWD,gray,black,4,2,gasoline,72644.0,15.75,9.9,5.0,8.0,V-Engine,1
2016,Mercedes-Benz,GLE,106954.0,SUV,Automatic,4X4,brown,black,5,4,gasoline,35450.0,10.8,8.7,2.4,6.0,V-Engine,2
2018,Nissan,Titan,163438.0,Truck,Automatic,4X4,white,brown,5,4,gasoline,16636.99,15.55,11.5,5.6,8.0,Inline,3
2017,Dodge,Viper,33553.0,Coupe,Manual,RWD,black,black,5,2,gasoline,339800.0,19.9,12.6,2.4,10.0,Inline,1
2021,Honda,CR-V,23393.0,SUV,CVT,4X4,blue,black,5,4,gasoline,40399.0,8.7,7.4,1.5,4.0,Inline,1
2017,Hyundai,Elantra,97628.0,Sedan,Automatic,FWD,blue,black,5,4,gasoline,14831.0,8.7,6.5,2.4,4.0,Inline,1
2019,Honda,Civic,102145.0,Compact,CVT,FWD,white,black,5,2,gasoline,22498.0,7.8,6.4,1.5,4.0,Inline,2
2018,BMW,3,80211.0,Sedan,Automatic,4X4,silver,black,5,4,gasoline,30490.0,10.2,7.2,2.4,4.0,Inline,2
2020,Hyundai,Elantra,35186.0,Sedan,Automatic,FWD,orange,black,5,4,gasoline,28581.0,10.0,7.65,2.4,4.0,Inline,1
2018,Audi,Q5,136000.0,SUV,Automatic,4X4,white,brown,5,4,gasoline,28555.0,10.4,8.6,2.4,4.0,Inline,2
2017,Porsche,Cayenne,55863.0,SUV,Automatic,4X4,black,black,5,4,gasoline,56498.0,13.25,9.95,2.4,6.0,V-Engine,1
2023,Volvo,XC60,50.0,SUV,Automatic,4X4,black,gray,5,4,gasoline,81169.0,10.8,8.7,2.0,4.0,Inline,1
2023,Alfa Romeo,Romeo,3682.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,62900.0,10.5,7.7,2.4,4.0,Inline,1
2022,Mercedes-Benz,A-Class,25619.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,44688.0,9.5,6.8,2.4,4.0,Inline,1
2015,Nissan,Micra,146000.0,Hatchback,Automatic,FWD,red,black,5,4,gasoline,8800.0,8.7,6.6,2.4,4.0,Inline,2
2012,Fisker,Karma,42000.0,Sedan,Automatic,RWD,black,black,5,4,hybrid,57000.0,10.8,8.7,2.4,4.0,Inline,1
2020,BMW,X5,27700.0,SUV,Automatic,4X4,black,brown,5,4,gasoline,70499.0,11.7,9.1,3.0,4.0,V-Engine,1
2023,Mazda,CX-5,3251.0,SUV,Automatic,4X4,red,black,5,4,gasoline,33828.0,9.8,7.9,2.5,4.0,Inline,1
2023,Mazda,CX-5,100.0,SUV,Automatic,4X4,black,black,5,4,gasoline,43774.0,9.8,7.9,2.4,4.0,Inline,1
2019,Jaguar,F-Pace,36041.0,SUV,Automatic,4X4,white,black,5,4,gasoline,42988.0,10.7,8.8,2.4,4.0,Inline,1
2023,Jeep,Wrangler,22.0,SUV,Automatic,4X4,white,black,5,4,gasoline,72998.0,11.5,9.9,2.0,4.0,Inline,1
2017,BMW,M3,46252.0,Sedan,Manual,RWD,silver,black,5,4,gasoline,67388.0,13.7,9.1,2.4,6.0,Inline,1
2023,Dodge,Charger,0.0,Sedan,Automatic,RWD,black,black,5,4,gasoline,62865.0,14.7,9.4,5.7,8.0,V-Engine,1
2017,Honda,Pilot,130000.0,SUV,Automatic,4X4,other,black,5,4,gasoline,23988.0,13.0,9.3,2.4,6.0,V-Engine,2
2023,Chevrolet,Silverado,10.0,Truck,Automatic,4X4,metallic,black,5,4,gasoline,62958.0,12.9,11.5,2.7,4.0,Other,1
2017,Audi,A3,57983.0,Sedan,Automatic,FWD,silver,black,5,4,gasoline,23980.0,10.8,8.7,2.4,4.0,Inline,1
2014,Hyundai,Santa,90.0,SUV,Automatic,4X4,red,black,5,4,gasoline,18900.0,12.4,9.4,2.4,4.0,Inline,1
2023,Honda,Civic,665.0,Sedan,Automatic,FWD,gray,black,5,4,gasoline,37990.0,7.8,6.3,2.0,4.0,Other,1
2018,Dodge,Durango,79530.0,SUV,Automatic,4X4,black,black,7,4,gasoline,39385.0,12.7,9.6,3.6,4.0,Other,1
2023,Chevrolet,SILVERADO,10.0,Truck,Automatic,4X4,white,black,5,4,diesel,102643.0,10.8,8.7,6.6,8.0,V-Engine,1
2019,Audi,Q5,46054.0,SUV,Automatic,4X4,black,black,5,4,gasoline,38901.0,10.9,8.7,2.4,4.0,Inline,1
